CourseCode,CourseName,Origin,Question,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,Answer,RelatedTextbook,RelatedChapter
ANAT9240,Anatomy & Physiology,P,Type of junction that serves to glue the epidermis to the dermis,,,,,,,Dermoepidermal Junction,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Type of skin is seen only on the hands and feet,,,,,,,Thick Skin,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Type of cell is found in the epidermis and plays a role in immune response,,,,,,,Dendritic Cell,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The outermost layer of a hair shaft,,,,,,,Cuticle,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Type of skin that covers most of the body,,,,,,,Thin Skin,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Type of cell that is responsible for healing wounds and makes fibrous connective tissue (giving it its name),,,,,,,Fibroblast,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The degree of burn that is most damaging,,,,,,,Fourth Degree,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The type of junction that binds cells together by fusing networks of keratin together in neighbouring cells,,,,,,,Desmosome,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,"Dry, itchy patches on the skin caused by an allergic reaction",,,,,,,Eczema,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Name of the protein that is the precursor to keratin,,,,,,,Eleidin,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The stratum of the epidermis that is only found in thick skin,,,,,,,Stratum Lucidum,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The stratum of the epidermis that contains cells that produce large amounts of keratin and/or its precursor,,,,,,,Stratum Spinosum,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The dermal structure (effectively bumps) that serves to increase the surface area between the dermis and epidermis to prevent issues such as blisters,,,,,,,Papillae,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The primary cell found in the epidermis,,,,,,,Keratinocyte,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,"When multiple keratin proteins assemble into larger and larger structures, they create an intermediate one of these",,,,,,,Filament,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Oil-based substance secreted by the sebaceous glands,,,,,,,Sebum,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The layer of skin that contains sensory receptors and blood vessels,,,,,,,Dermis,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Thick skin has these types of ridges that are not seen in thin skin,,,,,,,Friction Ridges,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The organelle that melanin works to protect from UV radiation,,,,,,,Nucleus,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The layer of the dermis that touches the dermoepidermal junction,,,,,,,Papillary Layer,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Two keratin proteins bound together are said to make this type of protein structure,,,,,,,Dimer,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The stratum of the epidermis that contain granules which serve to link keratin filaments together,,,,,,,Stratum Granulosum,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The muscle that causes your hair to stand up off of your skin,,,,,,,Arrector Pili,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,A blue tint to the skin generally caused by poor circulation and low blood oxygenation,,,,,,,Cyanosis,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The type of protein found in surface film and serves as an antimicrobial agent,,,,,,,Defensin,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,When hair loss is caused by autoimmune attack,,,,,,,Alopecia,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,"The major protein family in skin tissue that consists of over 50 different proteins, largely grouped into ""Type I"" or ""Type II""",,,,,,,Keratin,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The white crescent found under the nail bed,,,,,,,Lunula,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Using an ice pack to cool your forehead is an example of thermoregulation using this type of mechanism,,,,,,,Conduction,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Ringworm is caused by this type of microorganism,,,,,,,Fungus,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The layer of the dermis that contains glands and follicles,,,,,,,Reticular Layer,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Epithelial tissue that consists of layers of cells is said to be this,,,,,,,Stratified,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Genetic condition that results in the lack of melanin,,,,,,,Albanism,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Melanin subtype that is light orange or red in colour,,,,,,,Pheomelanin,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The type of cell that is responsible for skin pigmentation,,,,,,,Melanocyte,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The type of junction that joins cells together by fusing networks of actin together in neighbouring cells,,,,,,,Adherens Junction,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,"After creating the Vitamin D precursor in the skin, production continues in this organ",,,,,,,Liver,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Type of junction that cements cells to the extracellular matrix rather than to a neighbouring cell,,,,,,,Hemidesmosome,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,These bodies secrete lipids to aid in water repulsion,,,,,,,Lamellar Bodies,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Melanocytes produce pigments and package it into these types of vesicles,,,,,,,Melanosomes,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Warts are caused by this type of virus,,,,,,,Papilloma,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,"While not a major factor in skin colour, this protein can cause a blue tint to some regions of skin",,,,,,,Hemoglobin,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The type of pigment (also used in digestion and produced in the liver) that causes a bruise to turn green or yellow,,,,,,,Bile,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The layer of skin that is considered most superficial,,,,,,,Epidermis,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Redirecting blood flow to the skin on a windy day would be an example of this mechanism of thermoregulation,,,,,,,Convection,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Melanin subtype that is very dark and brown/black in colour,,,,,,,Eumelanin,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,"Dry, itchy patches that bulge into scales",,,,,,,Psoriasis,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The layer of root sheath that physically touches the hair shaft in the follicle,,,,,,,Epithelial Layer,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Vitamin D is also known as this substance (hint: one function of Vitamin D is to regulate calcium),,,,,,,Calcitriol,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,This layer of skin is mostly made up of adipose cells,,,,,,,Hypodermis,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Term used to describe the shape of cells in skin tissue - flatten and thin,,,,,,,Squamous,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The major gland that regulates body temperature through sweating,,,,,,,Eccrine Glands,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,An aggressive form of skin cancer,,,,,,,Melanoma,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Meissner and Pacinian corpuscles are sensory receptors for this type of sensation,,,,,,,Pressure,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The formal term for the type of gland that produces ear wax,,,,,,,Ceruminous Gland,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The base of a hair follicle,,,,,,,Root,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The stratum of the epidermis that is exposed to the external environment,,,,,,,Stratum Corneum,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,"Highly contagious bacterial infection of the skin that produces yellow, crusty blisters",,,,,,,Impetigo,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,"Lines that give skin a ""grain"" or texture where fibres are orientated in a particular direction",,,,,,,Cleavage Lines,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Type of gland that is found in a hair follicle,,,,,,,Sebaceous Gland,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The stratum of the epidermis that contains cells undergoing division,,,,,,,Stratum Basale,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The epidermis and the dermis are joined by the…?,Dermoepidermal Junction,Papillary Layer,Reticular Layer,Stratum Corneum,Fibroblasts,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Which cell type is the most abundant in the epidermis?,Keratinocytes,Melanocytes,Dendritic Cells,Nerve Cells,Fibroblasts,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,What is the more superficial layer of the dermis?,Papillary Layer,Stratum Corneum,Reticular Layer,Stratum Basale,Dermoepidermal Junction,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,What is the most superficial layer of the epidermis?,Stratum Spinosum,Stratum Basale,Stratum Lucidum,Stratum Granulosum,Stratum Corneum,,E,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Which layer of the epidermis do cells undergo mitosis?,Stratum Spinosum,Stratum Basale,Stratum Lucidum,Stratum Granulosum,Stratum Corneum,,B,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Which layer is thicker in the dermis?,Papillary Layer,Stratum Corneum,Reticular Layer,Stratum Basale,Dermoepidermal Junction,,C,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The hypodermis is mostly made up of which type of tissue?,Muscle,Adipose,Nerve,Epithelial,,,B,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,A callus can result from…?,Increased rates of mitosis,Increased exposure to water,Changes in microbiota of the surface film,Burns,,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Beta-carotene can change which property of the skin?,Elasticity,Strength,Rates of mitosis,Waterproofing,Pigment,,E,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The outermost layer of hair is known as the…?,Cuticle,Shaft,Medulla,Cortex,,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Which type of gland is responsible for body odour?,Sudoriferous,Eccrine,Sebaceous,Apocrine,All glands can produce odour,,D,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,What degrees of burns only damage portions of the integument rather than all layers?,1st and 2nd,2nd and 3rd,3rd and 4th,Only 4th,,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Eleidin is a protein which is a precursor for…?,Melanin,Collagen,Elastin,Keratin,,,D,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Defensins are typically found where?,Epidermis,Surface film,Dermis,Hypodermis,,,B,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Which protein provides strength to the dermis?,Collagen,Elastin,Melanin,Keratin,,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Sensory receptors are typically found in the…?,Surface film,Epidermis,Dermis,Hypodermis,,,C,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,As we age which layer of the integument tends to get thinner?,Surface film,Epidermis,Dermis,Hypodermis,,,B,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Age spots are thought to be caused by mutations in which cells?,Melanocytes,Keratinocytes,Dermal Cells,Hypodermal Cells,,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Pseudostratified columnar epithelium has only one layer of oddly shaped columnar cells.,TRUE,FALSE,,,,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The chemical composition of surface film is consistent across the body.,TRUE,FALSE,,,,,B,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Which type of melanin process a red tint?,Pheomelanin,Eumelanin,,,,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,Which layer of the integument does not normally regenerate?,Dermis,Epidermis,,,,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,"The arrangement of fibers in the dermis imparts an orientation or “grain” to the skin, which can play a role in scar formation from incisions. These orientations are known as:",Cleavage Lines,Friction Lines,,,,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,T,The two main layers that compose the skin are the dermis and the…?,Epidermis,Hypodermis,Subcutaneous,Superficial Fascia,,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,T,"The epidermis is composed of several types of epithelial cells. One type, called keratinocytes, become filled with a tough, fibrous protein called…?",Stratum Lucidum,Keratin,Eleidin,Melanin,,,B,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,T,Each hair follicle has a small bundle of involuntary muscles attached to it called the…?,Dermal Papillae,Arrector Pili,Microvilli,Smooth Muscle,,,B,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,T,The structure that lies deep to the dermis and forms a connection between the skin and the underlying structures of the body is the…?,Hypodermis,Cleavage Line,Dermal Papillae,Hyperdermis,,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,T,The basic determinant of skin color is…?,Melanin,Tyrosine,Mucus,Keratin,,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,T,Which of the following is not a function of the skin?,Contraction,Protection,Sensation,Temperature Regulation,,,A,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,T,The shedding of epithelial elements from the skin surface is called…?,Lubrication,Hydration,Desquamation,Buffering,,,C,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,T,The first step in the production of vitamin D in the body…,is the transportation of cholecalciferol to the liver and kidneys.,occurs when the melanin synthesizes vitamin D.,occurs when the skin is exposed to UV light.,occurs with the conversion of vitamin D into an active form.,,,C,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,T,Which of the following respond(s) to signals by acting in ways to promote heat loss through the skin?,Melanin,Blood Vessels,Both Sweat Glands and Blood Vessels are correct,Sweat Glands,,,C,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,T,"Around the sixth month of pregnancy, the developing fetus is almost entirely covered by a fine soft hair coat called the…?",Papilla,Lanugo,Sebum,Vellus,,,B,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,T,The skin glands include three kinds of microscopic glands. They are the __________ glands.,"sweat, eccrine, and sebaceous","sebaceous, eccrine, and ceruminous","sweat, eccrine, and ceruminous","sweat, sebaceous, and ceruminous",,,D,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,T,The mixed secretions of sebaceous and ceruminous glands form a brown waxy substance called the…?,Keratin,Melanin,Cerumen,Sebum,,,C,Anatomy & Physiology,10 - Skin
ANAT9240,Anatomy & Physiology,P,The 12 vertebrae that make up the medial section of the human spine,,,,,,,Thoracic Vertebrae,Anatomy & Physiology,12 - Axial Skeleton
ANAT9240,Anatomy & Physiology,P,"The subdivision of the skeleton that contains the skull, ribs, and vertebral column",,,,,,,Axial Skeleton,Anatomy & Physiology,12 - Axial Skeleton
ANAT9240,Anatomy & Physiology,P,"As we age, the amount of this type of bone marrow increases",,,,,,,Yellow Marrow,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The type of bone that is the final result of bone healing after remodeling has taken place,,,,,,,Lamellar,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The bone that sits under your ear,,,,,,,Temporal Bone,Anatomy & Physiology,12 - Axial Skeleton
ANAT9240,Anatomy & Physiology,P,The group of bones that make up your palm,,,,,,,Metacarpals,Anatomy & Physiology,13 - Appendicular Skeleton
ANAT9240,Anatomy & Physiology,P,"In anatomical position, the forearm bone that is lateral",,,,,,,Radius,Anatomy & Physiology,13 - Appendicular Skeleton
ANAT9240,Anatomy & Physiology,P,The movement describing decreasing the angle of your elbow joint,,,,,,,Flexion,Anatomy & Physiology,14 - Articulations
ANAT9240,Anatomy & Physiology,P,"During bone healing, the first layer of bone that is laid down is unorganized and described as this type of bone",,,,,,,Woven Bone,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,Curvature of the spine causing the shoulders to be pulled backward,,,,,,,Kyphosis,Anatomy & Physiology,12 - Axial Skeleton
ANAT9240,Anatomy & Physiology,P,"In anatomical position, the forearm bone that is medial",,,,,,,Ulna,Anatomy & Physiology,13 - Appendicular Skeleton
ANAT9240,Anatomy & Physiology,P,The joints between the teeth and the jaw,,,,,,,Gomphoses,Anatomy & Physiology,14 - Articulations
ANAT9240,Anatomy & Physiology,P,These are highly mobile joints,,,,,,,Diarthroses,Anatomy & Physiology,14 - Articulations
ANAT9240,Anatomy & Physiology,P,The type of osteocyte that degrades bone and elevates blood calcium levels,,,,,,,Osteoclast,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The name given to the furthest phalanges,,,,,,,Distal,Anatomy & Physiology,13 - Appendicular Skeleton
ANAT9240,Anatomy & Physiology,P,"The classification of bone that makes up the ribs, sternum, and skull",,,,,,,Flat Bone,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,These are immoveable joints,,,,,,,Synarthroses,Anatomy & Physiology,14 - Articulations
ANAT9240,Anatomy & Physiology,P,"The formal term for ""bone""",,,,,,,Osseous,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The bone of the foot that supports most of your weight from the tibia,,,,,,,Talus,Anatomy & Physiology,13 - Appendicular Skeleton
ANAT9240,Anatomy & Physiology,P,"In anatomical position, this shin bone is medial",,,,,,,Tibia,Anatomy & Physiology,13 - Appendicular Skeleton
ANAT9240,Anatomy & Physiology,P,"If bones are no longer growing in length, then the epiphysial plate is said to be this",,,,,,,Fused,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The most mobile joint in the body,,,,,,,Synovial Joint,Anatomy & Physiology,14 - Articulations
ANAT9240,Anatomy & Physiology,P,The bone that makes the upper part of the pelvis,,,,,,,Ilium,Anatomy & Physiology,13 - Appendicular Skeleton
ANAT9240,Anatomy & Physiology,P,The type of bone joints found in the skull,,,,,,,Sutures,Anatomy & Physiology,14 - Articulations
ANAT9240,Anatomy & Physiology,P,The term used to describe moving your arm in a circle,,,,,,,Circumduction,Anatomy & Physiology,14 - Articulations
ANAT9240,Anatomy & Physiology,P,The supporting packets of synovial fluid that support and stabilize a joint,,,,,,,Bursae,Anatomy & Physiology,14 - Articulations
ANAT9240,Anatomy & Physiology,P,"The ""ends"" of long bones",,,,,,,Epiphysis,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The small spaces in solid bone where osteocytes live,,,,,,,Lacunae,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,One of the bones that makes up the shoulder girdle with the clavicle,,,,,,,Scapula,Anatomy & Physiology,13 - Appendicular Skeleton
ANAT9240,Anatomy & Physiology,P,The bone that would hold your upper lip,,,,,,,Maxilla,Anatomy & Physiology,12 - Axial Skeleton
ANAT9240,Anatomy & Physiology,P,The membrane that covers a bone on the exterior,,,,,,,Periosteum,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The internal membrane that lines the medullary cavity of a bone,,,,,,,Endosteum,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The 7 vertebrae that make up the superior section of the human spine,,,,,,,Cervical Vertebrae,Anatomy & Physiology,12 - Axial Skeleton
ANAT9240,Anatomy & Physiology,P,A disease where the density of bone descreases as you age (common in women),,,,,,,Osteoporosis,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The classification of bone that would describe a vertebral bone,,,,,,,Irregular Bone,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The section of a bone that would contain yellow marrow,,,,,,,Diaphysis,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The type of fracture only seen in children,,,,,,,Greenstick,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,"The central pathway of an osteon for blood, nervous, and lymphatic vessels",,,,,,,Central Canal,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The type of cartilage that is found at the end of long bones,,,,,,,Articular Cartilage,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The group of bones that make up your wrist,,,,,,,Carpals,Anatomy & Physiology,13 - Appendicular Skeleton
ANAT9240,Anatomy & Physiology,P,The movement describing rotating your wrist so that your palms face upward,,,,,,,Supination,Anatomy & Physiology,14 - Articulations
ANAT9240,Anatomy & Physiology,P,The type of marrow that produces blood cells and typically found in cancellous bone tissue,,,,,,,Red Marrow,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The only type of bone growth an adult can undergo,,,,,,,Appositional,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,Additional pads of tissue that help bones to remain aligned and move freely,,,,,,,Menisci,Anatomy & Physiology,14 - Articulations
ANAT9240,Anatomy & Physiology,P,Excessive curvature of the spin which causes the hips to hotate up and behind,,,,,,,Lordosis,Anatomy & Physiology,12 - Axial Skeleton
ANAT9240,Anatomy & Physiology,P,The bone that serves as your forehead,,,,,,,Frontal Bone,Anatomy & Physiology,12 - Axial Skeleton
ANAT9240,Anatomy & Physiology,P,The demineralization of bone in children,,,,,,,Rickets,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The type of fracture where a tendon has ripped off a piece of bone,,,,,,,Avulsed,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The type of fracture that results in mutiple bone pieces,,,,,,,Comminuted,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The name given to a flat bone's internal and external sides that touch surrounding tissue,,,,,,,Tables,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,"This type of substance is a combination of collagin, chondroitin, and glucosamine, and makes up the organic matrix of bone",,,,,,,Ground Substance,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The name of the cartilaginous tissue that serves as a temporary scaffold for bone healing,,,,,,,Procallus,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The name of the joint that makes up the disks in your spine,,,,,,,Symphyses,Anatomy & Physiology,14 - Articulations
ANAT9240,Anatomy & Physiology,P,The facial bone that sits above the hard palate,,,,,,,Vomer,Anatomy & Physiology,12 - Axial Skeleton
ANAT9240,Anatomy & Physiology,P,The branching or criss crossed pattern of tissue seen in cancellous bone,,,,,,,Trabeculae,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The bone in your upper body that has no direct link to another bone,,,,,,,Hyoid Bone,Anatomy & Physiology,12 - Axial Skeleton
ANAT9240,Anatomy & Physiology,P,Moving a limb towards the body,,,,,,,Adduction,Anatomy & Physiology,14 - Articulations
ANAT9240,Anatomy & Physiology,P,The classification of bone that would describe the patella,,,,,,,Sesamoid Bone,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The type of lamellae that look like tree rings around each osteon,,,,,,,Concentric,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,What most people would call the thigh bone,,,,,,,Femur,Anatomy & Physiology,13 - Appendicular Skeleton
ANAT9240,Anatomy & Physiology,P,The bone that makes up your lower jaw,,,,,,,Mandible,Anatomy & Physiology,12 - Axial Skeleton
ANAT9240,Anatomy & Physiology,P,The type of stem cell that can produce many types of osteocytes,,,,,,,Osteogenic Cells,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The fused bones that make up your tailbone,,,,,,,Coccyx,Anatomy & Physiology,12 - Axial Skeleton
ANAT9240,Anatomy & Physiology,P,The name of the inorganic crystals that make up the minteral component of bone,,,,,,,Hydroxyapatite,Anatomy & Physiology,11 - Skeletal Tissues
ANAT9240,Anatomy & Physiology,P,The open spaces seen between bones in an infant's skull,,,,,,,Fontanel,Anatomy & Physiology,14 - Articulations
ANAT9240,Anatomy & Physiology,P,The description of ribs not directly attached to the sternum,,,,,,,False Ribs,Anatomy & Physiology,12 - Axial Skeleton
ANAT9240,Anatomy & Physiology,P,The 5 vertebrae that make up the inferior section of the human spine,,,,,,,Lumbar Vertebrae,Anatomy & Physiology,12 - Axial Skeleton
ANAT9240,Anatomy & Physiology,P,A feature of a bone meaning a large bump for a muscle attachment,,,,,,,Trochanter,Anatomy & Physiology,13 - Appendicular Skeleton
